ID,ChannelInfo,OtherDirection,Counterparty,Balance,FeeBase,FeeProportional,Timelock, isClosed
0,0,1,84,4181,621,4000,38,0
1,0,0,0,15819,880,5000,54,0
2,1,3,47,930886071,553,3000,66,0
3,1,2,0,1069113929,854,6000,13,0
4,2,5,98,42066,250,3000,85,0
5,2,4,0,137934,670,7000,62,0
6,3,7,10,113931789,731,8000,95,0
7,3,6,0,6068211,135,1000,37,0
8,4,9,2,86908,984,6000,41,0
9,4,8,1,33092,831,9000,61,0
10,5,11,96,3040493535,123,8000,86,0
11,5,10,1,2959506465,958,2000,48,0
12,6,13,36,38208,253,5000,27,0
13,6,12,1,1361792,660,9000,67,0
14,7,15,23,186262,216,1000,50,0
15,7,14,1,813738,451,4000,12,0
16,8,17,63,1318404956,412,9000,50,1
17,8,16,2,16681595044,125,7000,12,1
18,9,19,62,19075775,898,9000,81,0
19,9,18,2,40924225,542,7000,16,0
20,10,21,79,1342022,635,8000,44,0
21,10,20,2,6657978,181,8000,51,0
22,11,23,14,2711152,647,7000,20,0
23,11,22,3,77288848,347,9000,98,0
24,12,25,96,5987275,974,1000,12,0
25,12,24,3,74012725,877,8000,16,0
26,13,27,81,2000397265,777,8000,65,0
27,13,26,3,1999602735,907,5000,40,0
28,14,29,84,80027327405,219,8000,42,0
29,14,28,3,79972672595,450,2000,94,0
30,15,31,75,3848552606,539,8000,47,0
31,15,30,4,4151447394,938,4000,66,0
32,16,33,14,736959491,966,9000,90,0
33,16,32,4,663040509,313,7000,96,0
34,17,35,92,116862048,647,1000,94,0
35,17,34,4,63137952,502,6000,75,0
36,18,37,81,834351384,317,8000,79,0
37,18,36,4,765648616,131,3000,51,0
38,19,39,42,2208387,673,8000,32,0
39,19,38,5,8890460,861,1000,55,0
40,20,41,35,4154867094,306,1000,16,0
41,20,40,5,3845131377,242,1000,36,0
42,21,43,93,938098360,189,9000,80,0
43,21,42,5,861901640,170,1000,12,0
44,22,45,12,617499421,686,1000,42,0
45,22,44,5,782500579,155,8000,48,0
46,23,47,51,37523342451,568,9000,50,0
47,23,46,6,22476657549,244,1000,84,0
48,24,49,86,2547643296,914,4000,95,0
49,24,48,6,17451760935,420,8000,40,0
50,25,51,55,395307661,430,7000,10,0
51,25,50,6,404692339,966,3000,48,0
52,26,53,53,199363632,826,2000,59,0
53,26,52,6,1800636368,498,5000,74,0
54,27,55,83,70005362643,460,5000,16,0
55,27,54,7,69994637357,711,6000,24,0
56,28,57,44,1093564,331,3000,92,0
57,28,56,7,18906436,255,5000,78,0
58,29,59,57,70242,385,1000,58,0
59,29,58,7,49758,936,5000,27,0
60,30,61,64,59578,721,2000,62,0
61,30,60,8,422,675,5000,85,0
62,31,63,65,364904,384,6000,22,0
63,31,62,8,435096,447,9000,97,0
64,32,65,68,48487979717,431,8000,63,0
65,32,64,8,51512020283,447,9000,64,0
66,33,67,33,31649445029,911,8000,61,0
67,33,66,8,28350554971,651,9000,57,0
68,34,69,77,2981767241,707,5000,51,0
69,34,68,9,3018232759,556,5000,63,0
70,35,71,53,322655794,966,3000,30,0
71,35,70,9,277344206,995,8000,32,0
72,36,73,86,5738459,741,9000,60,1
73,36,72,9,256366,686,9000,42,1
74,37,75,31,106489,783,8000,15,0
75,37,74,9,73511,440,3000,73,0
76,38,77,41,3069256140,633,9000,79,0
77,38,76,10,2930743860,780,6000,73,0
78,39,79,77,6562520,337,8000,37,0
79,39,78,10,3437480,488,5000,31,0
80,40,81,17,165,181,8000,25,0
81,40,80,10,39835,228,3000,84,0
82,41,83,78,59978721716,492,1000,34,0
83,41,82,11,60021278284,845,1000,92,0
84,42,85,13,318887230,553,6000,82,0
85,42,84,11,281112770,933,1000,51,0
86,43,87,19,5948760166,914,9000,41,0
87,43,86,11,6051239834,328,2000,51,0
88,44,89,14,729,791,1000,53,0
89,44,88,11,39271,996,1000,90,0
90,45,91,38,18443431,740,7000,35,0
91,45,90,12,101556569,721,8000,89,0
92,46,93,17,163792,316,5000,91,0
93,46,92,12,36208,259,3000,46,0
94,47,95,26,5801238,787,7000,83,0
95,47,94,12,6198762,578,2000,65,0
96,48,97,27,39734843770,501,2000,48,0
97,48,96,13,40265156230,536,5000,54,0
98,49,99,95,2476650,611,5000,41,0
99,49,98,13,5523350,837,2000,54,0
100,50,101,52,72599,581,3000,79,0
101,50,100,13,127401,699,1000,53,0
102,51,103,47,843865,214,2000,99,0
103,51,102,14,1156135,832,2000,32,0
104,52,105,90,59878235514,342,5000,28,0
105,52,104,15,60121764486,912,4000,99,0
106,53,107,77,8276345,509,4000,67,1
107,53,106,15,5723655,671,6000,14,1
108,54,109,54,9922178699,224,8000,26,0
109,54,108,15,10077821301,238,9000,34,0
110,55,111,98,9783990,925,6000,48,0
111,55,110,15,8216010,231,9000,88,0
112,56,113,29,253662,150,8000,42,0
113,56,112,16,346338,345,3000,79,0
114,57,115,36,10037555244,577,3000,93,0
115,57,114,16,9962444756,171,6000,76,0
116,58,117,26,562218733,898,9000,48,0
117,58,116,16,637781267,611,3000,35,0
118,59,119,32,740535,790,9000,33,0
119,59,118,16,1259465,381,6000,88,0
120,60,121,91,9999887577,425,5000,95,0
121,60,120,17,10000112423,486,3000,70,0
122,61,123,27,89904648,962,3000,48,0
123,61,122,17,90095352,545,8000,92,0
124,62,125,91,253209,302,8000,87,1
125,62,124,18,545002,749,9000,39,1
126,63,127,90,352256,909,2000,32,0
127,63,126,18,1647744,622,6000,93,0
128,64,129,76,29960176614,179,7000,27,0
129,64,128,18,30039823386,204,1000,75,0
130,65,131,58,83493452,926,5000,65,0
131,65,130,19,116506548,505,6000,59,0
132,66,133,93,14286,886,7000,16,0
133,66,132,19,5985714,710,1000,11,0
134,67,135,18,29521472,128,1000,10,0
135,67,134,19,10478528,421,3000,25,0
136,68,137,95,670226647,789,7000,91,0
137,68,136,20,729773353,564,3000,66,0
138,69,139,53,31878,853,8000,68,0
139,69,138,20,88122,365,8000,61,0
140,70,141,76,20018571550,725,3000,56,0
141,70,140,20,19981428450,284,1000,21,0
142,71,143,24,52576954,315,8000,17,0
143,71,142,21,147423046,825,3000,37,0
144,72,145,42,702267835,961,4000,46,1
145,72,144,21,1291390416,507,7000,44,1
146,73,147,49,2962419809,312,7000,45,1
147,73,146,21,3036623438,415,9000,73,1
148,74,149,29,89911419746,170,9000,32,0
149,74,148,22,90088580254,513,7000,40,0
150,75,151,75,479,810,3000,16,0
151,75,150,22,59521,817,6000,83,0
152,76,153,7,2445196,176,2000,37,1
153,76,152,22,9554804,699,9000,68,1
154,77,155,98,17253,327,8000,94,0
155,77,154,23,118884,850,9000,75,0
156,78,157,90,40033300493,884,3000,62,0
157,78,156,23,39966699507,333,5000,18,0
158,79,159,92,8332,535,9000,90,0
159,79,158,23,191668,555,1000,14,0
160,80,161,94,447344667,341,8000,36,0
161,80,160,24,752655333,909,2000,36,0
162,81,163,36,50547719,403,6000,51,0
163,81,162,25,149452281,992,3000,27,0
164,82,165,96,55867,547,3000,43,0
165,82,164,26,24133,455,2000,39,0
166,83,167,80,54921,386,1000,87,0
167,83,166,26,5079,237,1000,74,0
168,84,169,69,179950,834,3000,86,0
169,84,168,27,50,343,5000,25,0
170,85,171,21,301791067,940,6000,52,0
171,85,170,27,1098208933,845,1000,91,0
172,86,173,46,27546386,735,8000,31,0
173,86,172,28,772453614,142,1000,52,0
174,87,175,25,133129,418,4000,65,0
175,87,174,28,6871,621,5000,96,0
176,88,177,92,923606349,555,7000,86,0
177,88,176,28,276393651,610,9000,13,0
178,89,179,81,10970,477,3000,60,0
179,89,178,29,6238,462,5000,49,0
180,90,181,50,7926049490,600,1000,72,1
181,90,180,29,8073941310,698,3000,13,1
182,91,183,71,12584548,890,8000,10,0
183,91,182,30,7415452,648,2000,16,0
