id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,0,1,4300909,1000,1,1000,144
1,0,0,1,0,45699091,1000,1,1000,144
2,1,3,2,1,842974,0,1,1000,144
3,1,2,1,2,19157026,1000,1,1000,144
4,2,5,2,1,1443619,0,1,1000,144
5,2,4,1,2,18556381,1000,1,1000,144
6,3,7,3,2,878820,49,9000,1000,30
7,3,6,2,3,104121180,0,0,1000,9
8,4,9,2,4,1294280,0,0,1000,18
9,4,8,4,2,18705720,1000,1,1000,144
10,5,11,2,5,1501968,0,0,1000,18
11,5,10,5,2,20498032,1000,1,1000,144
12,6,13,2,6,2837570,0,1000,1000,18
13,6,12,6,2,41162430,49,10,1000,144
14,7,15,7,8,354286,1000,10,1000,14
15,7,14,8,7,6434714,10,1,0,14
16,8,17,9,10,8868224,1000,1,1000,144
17,8,16,10,9,87485776,1000,1,1000,144
18,9,19,9,10,7269360,1000,1,1000,144
19,9,18,10,9,242730640,1000,1,1000,144
20,10,21,11,4,492201,1000,1,1000,144
21,10,20,4,11,34134799,1000,1,1000,144
22,11,23,8,12,2620897,200,1,1000,40
23,11,22,12,8,61253103,1000,1,1000,144
24,12,25,10,8,5771871,1000,1,1000,144
25,12,24,8,10,144228129,200,1,1000,40
26,13,27,13,10,4023799,1000,1000,1000,40
27,13,26,10,13,145976201,1000,1,1000,144
28,14,29,6,4,522228,49,10,1000,144
29,14,28,4,6,11614772,1000,1,1000,144
30,15,31,14,15,69552,5000,50,0,144
31,15,30,15,14,1930448,1000,10,1000,14
32,16,33,16,15,112155,0,1,0,144
33,16,32,15,16,1887845,1000,10,1000,14
34,17,35,2,17,9861803,0,1,1000,144
35,17,34,17,2,190138197,100,1,1000,144
36,18,37,16,18,81122,0,1,0,144
37,18,36,18,16,3251878,1000,10,1000,14
38,19,39,2,19,9243358,0,0,1000,18
39,19,38,19,2,98996642,1000,1,1000,144
40,20,41,20,21,3015569,1,100,1000,40
41,20,40,21,20,234912431,1000,1,900,144
42,21,43,22,23,20471,0,1,0,144
43,21,42,23,22,1079529,1000,10,1000,14
44,22,45,16,24,168936658,0,1,1000,144
45,22,44,24,16,1662320342,800,1,1000,144
46,23,47,3,25,6790445,49,9000,0,30
47,23,46,25,3,93209555,1000,10,1000,14
48,24,49,26,10,28944072,5000,3000,1000,288
49,24,48,10,26,271055928,1000,1,1000,144
50,25,51,27,28,1064312,1000,1,0,144
51,25,50,28,27,18935688,1000,10,1000,14
52,26,53,29,8,882693,1000,10,1000,14
53,26,52,8,29,9117307,100,1,0,144
54,27,55,27,25,11711178,1000,1,0,144
55,27,54,25,27,288288822,1000,10,1000,14
56,28,57,30,22,3340888,1000,1,1000,144
57,28,56,22,30,186481112,0,1,1000,144
58,29,59,3,31,130696985,49,9000,1000,30
59,29,58,31,3,1369303015,0,1,1000,14
60,30,61,8,32,4820171,200,1,1000,40
61,30,60,32,8,45179829,1000,10,1000,14
62,31,63,10,32,4921973,1000,1,0,144
63,31,62,32,10,45078027,1000,10,1000,14
64,32,65,3,32,2072022,49,9000,0,30
65,32,64,32,3,47927978,1000,10,1000,14
66,33,67,24,32,1697048,1000,10,0,144
67,33,66,32,24,48302952,1000,10,1000,14
68,34,69,33,32,3698493,0,0,1,40
69,34,68,32,33,46301507,1000,10,1000,14
70,35,71,2,34,1164694,0,1000,1000,18
71,35,70,34,2,94828306,100,1,1000,144
72,36,73,24,35,4302071,800,1,1000,144
73,36,72,35,24,152622929,1000,1,1000,144
74,37,75,36,4,9034721,1000,1,1000,144
75,37,74,4,36,876870279,1000,1,1000,144
76,38,77,37,33,3622710,1000,10,1000,14
77,38,76,33,37,46377290,0,0,1,40
78,39,79,38,4,124704624,1000,1,1000,144
79,39,78,4,38,9872845376,1000,1,1000,144
80,40,81,33,39,8110421,0,0,1,40
81,40,80,39,33,91889579,1000,10,1000,14
82,41,83,21,40,31356174,1000,1,1000,14
83,41,82,40,21,326526826,1000,1900,1000,144
84,42,85,41,40,92871681,1000,1,1000,144
85,42,84,40,41,1907128319,1000,1900,1000,144
86,43,87,42,43,935260,1000,10,1000,14
87,43,86,43,42,56364740,1,1,1000,4
88,44,89,44,40,45794443,1000,1,1000,144
89,44,88,40,44,881329557,1000,1900,1000,144
90,45,91,8,45,1785427,200,1,1000,40
91,45,90,45,8,18214573,1000,1,1000,144
92,46,93,33,40,134630258,0,0,1000,40
93,46,92,40,33,1865369742,1000,1900,1000,144
94,47,95,43,39,6077969,1,1,1000,4
95,47,94,39,43,173922031,1000,10,1000,14
96,48,97,22,39,12008640,0,1,1000,144
97,48,96,39,22,267991360,1000,10,1000,14
98,49,99,46,6,8315133,1000,1,1000,144
99,49,98,6,46,438943867,49,10,1000,144
100,50,101,47,8,3136826,1000,1,1000,144
101,50,100,8,47,33839174,200,1,1000,40
102,51,103,48,21,2415197,749,484,1000,144
103,51,102,21,48,1597584803,1000,1,1000,144
104,52,105,49,40,11598223,100,100,1000,144
105,52,104,40,49,188401777,1000,1900,1000,144
106,53,107,24,39,10446591,1000,10,0,144
107,53,106,39,24,319553409,1000,10,1000,14
108,54,109,46,39,9388169,1000,1,1000,144
109,54,108,39,46,170611831,1000,10,1000,14
110,55,111,50,8,10911934,1000,600,1000,40
111,55,110,8,50,216474066,200,1,1000,40
112,56,113,46,51,1817971,1000,1,1000,144
113,56,112,51,46,18182029,1000,1,1000,144
114,57,115,46,51,1008215,1000,1,1000,144
115,57,114,51,46,18991785,1000,1,1000,144
116,58,117,2,52,31412131,0,1000,1000,9
117,58,116,52,2,468587869,1000,1,1000,144
118,59,119,53,40,12618024,1000,1,1000,144
119,59,118,40,53,178163976,1000,1900,1000,144
120,60,121,54,55,8794387,1000,1,1000,144
121,60,120,55,54,80346613,1000,1,1000,144
122,61,123,54,56,11442225,1000,1,1000,144
123,61,122,56,54,121109775,1000,10,1000,14
124,62,125,54,57,3339482,1000,1,1000,144
125,62,124,57,54,196660518,1000,10,1000,14
126,63,127,58,40,82702602,1000,1,1000,144
127,63,126,40,58,897297398,1000,1900,1000,144
128,64,129,59,60,9262033,1000,1,1000,144
129,64,128,60,59,123502967,100,10,1000,144
130,65,131,58,61,342356,1000,1,1000,144
131,65,130,61,58,33660644,1000,1000,1000,4
132,66,133,62,63,101103535,850,84,1000,142
133,66,132,63,62,1898895465,0,1,1000,144
134,67,135,63,64,70114284,0,1,1000,144
135,67,134,64,63,929885716,1000,1,1000,144
136,68,137,54,65,16619808,1000,1,1000,144
137,68,136,65,54,158377192,1000,10,1000,14
138,69,139,54,66,995350,1000,1,1000,144
139,69,138,66,54,182495650,1000,1000,1000,144
140,70,141,54,67,279140,1000,1,1000,144
141,70,140,67,54,125911860,1000,1,1000,144
142,71,143,46,51,1141945,1000,1,1000,144
143,71,142,51,46,18858055,1000,1,1000,144
144,72,145,46,51,1964729,1000,1,1000,144
145,72,144,51,46,18035271,1000,1,1000,144
146,73,147,46,68,2109197,1000,1,1000,144
147,73,146,68,46,57890803,1000,1,1000,144
148,74,149,69,24,17136708,1000,1,1000,144
149,74,148,24,69,165382292,800,1,1000,144
150,75,151,46,51,1921218,1000,1,1000,144
151,75,150,51,46,18078782,1000,1,1000,144
152,76,153,63,70,28441018,0,1,1000,144
153,76,152,70,63,971558982,1000,1,1000,144
154,77,155,56,8,105733,1000,10,1000,14
155,77,154,8,56,39894267,200,1,1000,40
156,78,157,54,71,40977157,1000,1,1000,144
157,78,156,71,54,439022843,1000,1,1000,144
158,79,159,54,72,3669034,1000,1,1000,144
159,79,158,72,54,173046966,1000,10,1000,14
160,80,161,54,73,9267386,1000,1,1000,144
161,80,160,73,54,244169614,1000,1,1000,144
162,81,163,54,74,15268548,1000,1,1000,144
163,81,162,74,54,207004452,1000,10,1000,14
164,82,165,46,45,4273784,1000,1,1000,144
165,82,164,45,46,245726216,1000,1,1000,144
166,83,167,75,17,19843328,1000,1,1000,144
167,83,166,17,75,980156672,100,1,1000,144
168,84,169,76,77,93370793,1000,1,1000,144
169,84,168,77,76,906629207,1000,1700,1000,30
170,85,171,2,78,2360172,0,0,1000,9
171,85,170,78,2,97639828,1000,1,1000,144
172,86,173,76,5,40347545,1000,1,1000,144
173,86,172,5,76,959652455,1000,1,1000,144
174,87,175,79,63,3881612,1000,1,1000,144
175,87,174,63,79,296118388,0,1,1000,144
176,88,177,24,80,8978018,800,10,1000,144
177,88,176,80,24,191021982,1000,10,1000,14
178,89,179,54,66,7624678,1000,1,1000,144
179,89,178,66,54,192375322,1000,1000,1000,144
180,90,181,46,45,6331072,1000,1,1000,144
181,90,180,45,46,93668928,1000,1,1000,144
182,91,183,33,81,8531693,0,0,1,40
183,91,182,81,33,91468307,1000,100,1000,144
184,92,185,82,54,835726,1000,1,1000,144
185,92,184,54,82,23253274,1000,1,1000,144
186,93,187,24,83,22454854,800,10,1000,144
187,93,186,83,24,477545146,1000,10,1000,14
188,94,189,84,54,13048213,1000,1,1000,144
189,94,188,54,84,162315787,1000,1,1000,144
190,95,191,54,85,53286550,1000,1,1000,144
191,95,190,85,54,799338450,1000,1,1000,144
192,96,193,46,49,24145064,1000,1,1000,144
193,96,192,49,46,875854936,100,100,1000,144
194,97,195,54,86,88671269,1000,1,1000,144
195,97,194,86,54,911328731,20,4,1000,40
196,98,197,87,24,27769343,1,8,1,64
197,98,196,24,87,322230657,800,8,1000,144
198,99,199,54,40,14429558,1000,1,1000,144
199,99,198,40,54,197818442,1000,1900,1000,144
200,100,201,8,88,3962203,200,1,1000,40
201,100,200,88,8,46037797,1000,10,1000,14
202,101,203,66,8,17449408,1000,1000,1000,144
203,101,202,8,66,482550592,200,1,1000,40
204,102,205,89,87,29760196,1000,10,1,14
205,102,204,87,89,470239804,1,19,1,40
206,103,207,89,1,19392969,1000,10,1000,14
207,103,206,1,89,480607031,1000,1,1000,144
208,104,209,90,24,6820039,1000,1,1000,144
209,104,208,24,90,80519961,800,1,1000,144
210,105,211,54,80,4410546,1000,1,1000,144
211,105,210,80,54,295589454,1000,10,1000,14
212,106,213,80,1,9060421,1000,10,1000,14
213,106,212,1,80,290939579,1000,1,1000,144
214,107,215,10,80,18265370,1000,1,1000,144
215,107,214,80,10,281734630,1000,10,1000,14
216,108,217,87,80,4765939,1,19,1,40
217,108,216,80,87,395234061,1000,10,1,14
218,109,219,27,80,36978741,1000,1,1000,144
219,109,218,80,27,363021259,1000,10,1000,14
220,110,221,54,91,25785039,1000,1,1000,144
221,110,220,91,54,240082961,1000,1,1000,144
222,111,223,87,49,20017280,1,8,1,64
223,111,222,49,87,641482720,100,100,1000,144
224,112,225,54,92,26544388,1000,1,1000,144
225,112,224,92,54,246654612,1000,1,1000,144
226,113,227,87,93,253244,1,8,1,64
227,113,226,93,87,101746756,1000,1,1000,144
228,114,229,94,95,1391506655,1000,1,1000,144
229,114,228,95,94,15385708345,1000,1,1000,144
230,115,231,54,96,19598166,1000,1,1000,144
231,115,230,96,54,220158834,1000,100,1000,144
232,116,233,33,97,942640,0,0,1000,40
233,116,232,97,33,69337360,1000,1,1000,144
234,117,235,98,77,37553328,1000,1,1000,20
235,117,234,77,98,461211672,1000,1700,1000,30
236,118,237,98,99,30893292,1000,1,1000,20
237,118,236,99,98,467871708,1000,1,1000,144
238,119,239,95,40,185156963,1000,1,1000,144
239,119,238,40,95,3814843037,1000,1900,1000,144
240,120,241,40,12,42446235,1000,1900,1000,144
241,120,240,12,40,457553765,1000,1,1000,144
242,121,243,100,1,2299759,1000,10,1000,144
243,121,242,1,100,28731241,1000,1,1000,144
244,122,245,101,102,5545808,2000,2,1000,144
245,122,244,102,101,410759192,1000,1,1000,144
246,123,247,12,1,199047272,1000,1,1000,144
247,123,246,1,12,5393325728,1000,1,1000,144
248,124,249,87,103,3707611,1,8,1,64
249,124,248,103,87,301850389,1000,1,1000,144
250,125,251,104,10,11641901,1000,1,1000,144
251,125,250,10,104,143187099,1000,1,1000,144
252,126,253,105,12,434492260,1000,1,1000,144
253,126,252,12,105,12160374740,1000,1,1000,144
254,127,255,106,98,24342669,10000,10,1000,40
255,127,254,98,106,474422331,1000,1,1000,20
256,128,257,107,5,1198445,1000,1,1000,144
257,128,256,5,107,27206555,1000,1,1000,144
258,129,259,46,108,7756460,1000,1,1000,144
259,129,258,108,46,192243540,1000,1,1000,144
