Leaked composite object at 0x677ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x678ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x678f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x678fa0 (tests/leak_test.c:19, sz=12, NORMAL)

Leaked composite object at 0x677f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x677f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x677f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x677fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x677fe0 (tests/leak_test.c:12, sz=4, NORMAL)

