FINDROUTE 0
SEND PAYMENT 0
FINDROUTE 1
SEND PAYMENT 1
FORWARD PAYMENT 0
FORWARD PAYMENT 1
FORWARD PAYMENT 1
FORWARD PAYMENT 0
FORWARD PAYMENT 1
FORWARD PAYMENT 0
FORWARD PAYMENT 1
FORWARD PAYMENT 1
FINDROUTE 2
SEND PAYMENT 2
FORWARD PAYMENT 0
FORWARD PAYMENT 2
FORWARD PAYMENT 1
FORWARD PAYMENT 2
FORWARD PAYMENT 0
FORWARD PAYMENT 2
FORWARD PAYMENT 1
FINDROUTE 3
SEND PAYMENT 3
FORWARD PAYMENT 2
RECEIVE PAYMENT 1
FORWARD PAYMENT 0
RECEIVE PAYMENT 0
FORWARD PAYMENT 3
FINDROUTE 4
SEND PAYMENT 4
FORWARD PAYMENT 2
FORWARD SUCCESS  0
FORWARD SUCCESS  1
FORWARD PAYMENT 2
FORWARD PAYMENT 4
Not enough balance in channel 27541
RECEIVE FAIL 4
FINDROUTE 4
SEND PAYMENT 4
FORWARD PAYMENT 2
FORWARD PAYMENT 3
FINDROUTE 5
SEND PAYMENT 5
FORWARD PAYMENT 2
FORWARD PAYMENT 4
FORWARD SUCCESS  1
FORWARD SUCCESS  0
FORWARD PAYMENT 3
FORWARD PAYMENT 2
FORWARD PAYMENT 5
FORWARD PAYMENT 3
RECEIVE PAYMENT 3
FORWARD PAYMENT 2
FORWARD SUCCESS  1
FORWARD PAYMENT 4
FORWARD SUCCESS  0
FORWARD SUCCESS  1
FORWARD SUCCESS  3
FORWARD SUCCESS  3
FORWARD SUCCESS  1
FORWARD PAYMENT 4
FORWARD PAYMENT 5
FORWARD SUCCESS  1
FORWARD SUCCESS  3
FORWARD SUCCESS  0
RECEIVE PAYMENT 2
FORWARD SUCCESS  1
FORWARD PAYMENT 5
FORWARD PAYMENT 4
FORWARD SUCCESS  0
FORWARD PAYMENT 5
FORWARD PAYMENT 4
FORWARD PAYMENT 5
RECEIVE SUCCESS 1
FORWARD SUCCESS  3
FORWARD PAYMENT 4
FORWARD SUCCESS  2
FORWARD SUCCESS  0
FINDROUTE 6
SEND PAYMENT 6
FORWARD PAYMENT 6
FORWARD SUCCESS  2
RECEIVE PAYMENT 4
FORWARD PAYMENT 6
FINDROUTE 7
